,seq_num,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
3,6,0,0,1,2,2,0,0,1,0,0,0,0,0,0
4,6,0,0,1,5,1,0,0,0,0,0,0,0,0,0
5,6,4,4,3,3,1,0,1,0,0,0,0,0,0,0
6,6,1,1,2,0,2,1,0,0,0,0,0,0,0,0
7,6,4,0,0,0,5,0,0,0,0,0,0,0,0,0
8,6,2,0,1,0,0,0,0,0,1,0,0,0,0,0
9,6,3,0,0,1,1,0,0,0,0,0,0,0,0,0
10,6,2,1,3,1,4,1,0,0,0,1,0,0,0,0
11,6,3,2,2,0,0,1,0,0,0,0,0,0,0,0
12,6,0,0,1,1,2,0,0,0,0,0,0,0,0,0
13,6,4,6,1,1,0,1,0,0,0,0,0,0,0,0
14,6,2,2,2,3,1,0,0,0,0,0,0,0,0,0
15,6,0,3,1,0,1,0,0,0,0,0,0,0,0,0
16,6,0,3,0,0,0,0,1,0,0,0,0,0,0,0
1,7,0,0,2,2,0,0,0,0,0,0,0,0,0,0
2,7,4,3,1,1,1,0,0,0,0,0,0,0,0,0
3,7,1,1,1,2,1,0,1,0,1,0,0,0,0,0
4,7,2,1,0,0,1,1,0,0,0,0,0,0,0,0
5,7,1,3,0,1,2,1,1,0,0,0,0,0,0,0
6,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0
7,7,1,2,1,0,3,0,0,0,0,0,0,0,0,0
8,7,0,2,0,2,1,1,0,0,0,0,0,0,0,0
9,7,0,2,1,0,0,0,1,0,0,0,0,0,0,0
10,7,0,1,2,2,1,2,0,0,0,0,0,0,0,0
11,7,2,2,2,1,1,1,0,0,0,0,0,0,0,0
12,7,1,2,0,0,1,3,1,1,0,0,1,0,0,0
13,7,2,2,5,2,0,0,0,0,0,0,0,0,0,0
14,7,2,1,2,0,2,1,2,0,0,0,0,0,0,0
15,7,1,1,0,0,0,0,1,0,0,0,0,0,0,0
16,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,3,4,2,0,1,0,0,0,0,0,0,0,0,0
2,8,1,1,1,0,2,1,0,0,1,0,0,0,0,0
3,8,3,3,2,1,3,1,0,0,0,0,0,0,0,0
4,8,2,2,1,1,1,0,0,1,0,0,1,0,0,0
5,8,3,0,1,2,0,0,0,0,0,0,0,0,0,0
6,8,2,3,1,0,0,1,1,0,1,0,0,0,0,0
7,8,0,1,1,2,1,1,0,1,0,0,0,0,0,0
8,8,1,3,0,1,1,0,0,0,0,0,1,0,0,0
9,8,2,1,1,0,1,1,0,1,0,0,0,0,0,0
10,8,3,2,1,1,0,0,0,1,0,0,0,0,0,0
11,8,0,3,2,3,1,0,0,0,0,0,0,0,0,0
12,8,2,1,1,0,2,0,0,1,0,0,0,0,0,0
13,8,3,0,3,1,1,0,0,0,1,0,0,0,0,0
14,8,2,1,1,1,1,0,0,0,0,0,0,0,0,0
15,8,1,2,1,1,0,1,0,0,0,0,0,0,0,0
