,seq_num,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
13,26,2,3,1,1,0,0,1,0,0,0,0,0,0,0
14,26,4,1,2,1,1,0,0,0,0,0,1,0,0,0
15,26,0,3,2,0,1,1,0,0,0,0,0,0,0,0
16,26,3,0,1,1,0,0,0,0,0,0,0,0,0,0
1,27,0,1,0,2,1,0,2,0,0,0,1,0,0,0
2,27,0,2,1,1,1,1,0,1,1,1,0,0,0,0
3,27,1,1,0,3,1,0,0,1,0,0,0,0,0,0
4,27,2,0,3,1,1,1,1,0,0,0,0,0,0,0
5,27,2,1,1,1,3,1,0,0,0,0,0,0,0,0
6,27,1,3,2,1,0,0,0,0,0,0,0,0,0,0
7,27,2,1,4,0,1,1,0,0,0,0,0,0,0,0
8,27,3,2,1,1,3,1,0,0,1,0,0,0,0,0
9,27,2,0,1,1,0,0,1,0,0,0,0,0,0,0
10,27,1,3,4,3,0,1,1,0,0,0,0,0,0,0
11,27,1,2,4,0,2,0,1,0,0,0,0,0,0,0
12,27,4,3,0,1,0,1,1,0,0,0,0,0,0,0
13,27,3,1,3,0,0,2,0,0,1,0,0,0,0,0
14,27,4,4,1,1,1,0,0,0,0,0,0,0,0,0
15,27,2,3,1,2,0,1,0,0,0,0,0,0,0,0
16,27,1,1,1,2,2,0,0,1,0,0,0,0,0,0
1,28,4,0,1,0,1,0,0,0,0,0,0,0,0,0
2,28,2,3,1,2,0,1,2,1,0,0,0,0,0,0
3,28,2,3,1,0,3,1,0,0,0,0,0,0,0,0
4,28,3,2,1,3,0,2,0,1,0,0,0,0,0,0
5,28,3,5,1,1,1,0,1,1,0,0,0,0,0,0
6,28,2,4,0,0,2,1,0,0,0,0,0,0,0,0
7,28,1,1,2,1,0,0,0,0,0,0,0,0,0,0
8,28,4,2,1,3,0,0,0,0,0,0,0,1,0,0
9,28,4,0,1,2,1,0,0,0,1,0,0,0,0,0
10,28,3,2,0,1,0,0,0,0,0,1,0,1,0,0
11,28,1,1,3,3,1,0,0,0,0,0,0,0,0,0
12,28,1,1,3,1,1,0,1,0,0,0,0,0,0,0
13,28,4,2,3,2,1,1,0,1,0,0,0,0,0,0
14,28,2,1,2,3,0,1,0,0,0,0,0,0,0,1
15,28,3,1,1,0,0,0,1,0,0,0,0,0,0,0
16,28,1,2,0,0,1,1,0,0,0,0,0,0,0,0
