Count from total of 16451820 word 5-grams
19	FOR	THE	FIRST	TIME	YESTERDAY
15	LOT	OF	PEOPLE	WERE	SURPRISED
13	FOR	THE	SOCIOL	WORC	PROFESSION
8	THAT	HE	WOULD	HAUE	PREFERRED
8	LOT	OF	PEOPLE	HAUE	SUGGESTED
7	THAT	THE	SOCIOL	WORC	PROFESSION
7	LOT	OF	PEOPLE	WERE	CONCERNED
7	AND	THE	SOCIOL	WORC	PROFESSION
7	AND	NO	LO(I)NGER	PINC	THROUGHOUT
